Entity,Code,Day,Monthly average ocean heat content for the 0-2000 meters layer
World,OWID_WRL,2005-01-15,8.520549
World,OWID_WRL,2005-02-15,10.162555
World,OWID_WRL,2005-03-15,9.689036
World,OWID_WRL,2005-04-15,8.916094
World,OWID_WRL,2005-05-15,11.429535
World,OWID_WRL,2005-06-15,11.137574
World,OWID_WRL,2005-07-15,10.43296
World,OWID_WRL,2005-08-15,9.116734
World,OWID_WRL,2005-09-15,12.159878
World,OWID_WRL,2005-10-15,13.274349
World,OWID_WRL,2005-11-15,12.701668
World,OWID_WRL,2005-12-15,13.744327
World,OWID_WRL,2006-01-15,11.180849
World,OWID_WRL,2006-02-15,12.169756
World,OWID_WRL,2006-03-15,12.070793
World,OWID_WRL,2006-04-15,12.066676
World,OWID_WRL,2006-05-15,13.193215
World,OWID_WRL,2006-06-15,15.244023
World,OWID_WRL,2006-07-15,12.860933
World,OWID_WRL,2006-08-15,11.081134
World,OWID_WRL,2006-09-15,12.771712
World,OWID_WRL,2006-10-15,13.745169
World,OWID_WRL,2006-11-15,14.255112
World,OWID_WRL,2006-12-15,15.147673
World,OWID_WRL,2007-01-15,13.868542
World,OWID_WRL,2007-02-15,13.443377
World,OWID_WRL,2007-03-15,13.045898
World,OWID_WRL,2007-04-15,10.656427
World,OWID_WRL,2007-05-15,11.977052
World,OWID_WRL,2007-06-15,13.735917
World,OWID_WRL,2007-07-15,13.942971
World,OWID_WRL,2007-08-15,10.358621
World,OWID_WRL,2007-09-15,11.646537
World,OWID_WRL,2007-10-15,12.399255
World,OWID_WRL,2007-11-15,15.306749
World,OWID_WRL,2007-12-15,14.321214
World,OWID_WRL,2008-01-15,13.028717
World,OWID_WRL,2008-02-15,13.002364
World,OWID_WRL,2008-03-15,13.931546
World,OWID_WRL,2008-04-15,13.363381
World,OWID_WRL,2008-05-15,14.10704
World,OWID_WRL,2008-06-15,14.125691
World,OWID_WRL,2008-07-15,13.123981
World,OWID_WRL,2008-08-15,12.776558
World,OWID_WRL,2008-09-15,13.324909
World,OWID_WRL,2008-10-15,12.711643
World,OWID_WRL,2008-11-15,12.45329
World,OWID_WRL,2008-12-15,13.828548
World,OWID_WRL,2009-01-15,13.612573
World,OWID_WRL,2009-02-15,15.410805
World,OWID_WRL,2009-03-15,14.640668
World,OWID_WRL,2009-04-15,11.86778
World,OWID_WRL,2009-05-15,13.162536
World,OWID_WRL,2009-06-15,12.593975
World,OWID_WRL,2009-07-15,11.154401
World,OWID_WRL,2009-08-15,10.119848
World,OWID_WRL,2009-09-15,14.393637
World,OWID_WRL,2009-10-15,15.430263
World,OWID_WRL,2009-11-15,14.937077
World,OWID_WRL,2009-12-15,16.56464
World,OWID_WRL,2010-01-15,13.767159
World,OWID_WRL,2010-02-15,13.954474
World,OWID_WRL,2010-03-15,14.991473
World,OWID_WRL,2010-04-15,12.368989
World,OWID_WRL,2010-05-15,10.684028
World,OWID_WRL,2010-06-15,13.2915
World,OWID_WRL,2010-07-15,13.446659
World,OWID_WRL,2010-08-15,11.327843
World,OWID_WRL,2010-09-15,13.434708
World,OWID_WRL,2010-10-15,13.845075
World,OWID_WRL,2010-11-15,15.224765
World,OWID_WRL,2010-12-15,14.727099
World,OWID_WRL,2011-01-15,15.262821
World,OWID_WRL,2011-02-15,16.056347
World,OWID_WRL,2011-03-15,15.246212
World,OWID_WRL,2011-04-15,14.698331
World,OWID_WRL,2011-05-15,16.192272
World,OWID_WRL,2011-06-15,12.382379
World,OWID_WRL,2011-07-15,15.260068
World,OWID_WRL,2011-08-15,15.32386
World,OWID_WRL,2011-09-15,16.487146
World,OWID_WRL,2011-10-15,15.077184
World,OWID_WRL,2011-11-15,14.208598
World,OWID_WRL,2011-12-15,17.44343
World,OWID_WRL,2012-01-15,16.4266
World,OWID_WRL,2012-02-15,18.074652
World,OWID_WRL,2012-03-15,17.289766
World,OWID_WRL,2012-04-15,15.269282
World,OWID_WRL,2012-05-15,13.973036
World,OWID_WRL,2012-06-15,13.208759
World,OWID_WRL,2012-07-15,13.845653
World,OWID_WRL,2012-08-15,12.814137
World,OWID_WRL,2012-09-15,14.585432
World,OWID_WRL,2012-10-15,17.03354
World,OWID_WRL,2012-11-15,17.003181
World,OWID_WRL,2012-12-15,15.492616
World,OWID_WRL,2013-01-15,18.255077
World,OWID_WRL,2013-02-15,20.545443
World,OWID_WRL,2013-03-15,19.687702
World,OWID_WRL,2013-04-15,15.648695
World,OWID_WRL,2013-05-15,16.915556
World,OWID_WRL,2013-06-15,15.727138
World,OWID_WRL,2013-07-15,15.127299
World,OWID_WRL,2013-08-15,14.991578
World,OWID_WRL,2013-09-15,16.972416
World,OWID_WRL,2013-10-15,18.435839
World,OWID_WRL,2013-11-15,19.252289
World,OWID_WRL,2013-12-15,19.69625
World,OWID_WRL,2014-01-15,18.480995
World,OWID_WRL,2014-02-15,19.748316
World,OWID_WRL,2014-03-15,18.962797
World,OWID_WRL,2014-04-15,16.911015
World,OWID_WRL,2014-05-15,17.323256
World,OWID_WRL,2014-06-15,19.544016
World,OWID_WRL,2014-07-15,17.467545
World,OWID_WRL,2014-08-15,17.520796
World,OWID_WRL,2014-09-15,17.506933
World,OWID_WRL,2014-10-15,18.181509
World,OWID_WRL,2014-11-15,18.522825
World,OWID_WRL,2014-12-15,20.207624
World,OWID_WRL,2015-01-15,20.456018
World,OWID_WRL,2015-02-15,21.353382
World,OWID_WRL,2015-03-15,21.273285
World,OWID_WRL,2015-04-15,20.916912
World,OWID_WRL,2015-05-15,20.589825
World,OWID_WRL,2015-06-15,18.57493
World,OWID_WRL,2015-07-15,19.605026
World,OWID_WRL,2015-08-15,19.937601
World,OWID_WRL,2015-09-15,19.768995
World,OWID_WRL,2015-10-15,18.603746
World,OWID_WRL,2015-11-15,19.92756
World,OWID_WRL,2015-12-15,20.204773
World,OWID_WRL,2016-01-15,20.772736
World,OWID_WRL,2016-02-15,20.62757
World,OWID_WRL,2016-03-15,20.948439
World,OWID_WRL,2016-04-15,17.40496
World,OWID_WRL,2016-05-15,18.144024
World,OWID_WRL,2016-06-15,18.492626
World,OWID_WRL,2016-07-15,17.259014
World,OWID_WRL,2016-08-15,15.7871
World,OWID_WRL,2016-09-15,18.374924
World,OWID_WRL,2016-10-15,18.25682
World,OWID_WRL,2016-11-15,20.786268
World,OWID_WRL,2016-12-15,19.347174
World,OWID_WRL,2017-01-15,21.93114
World,OWID_WRL,2017-02-15,21.952456
World,OWID_WRL,2017-03-15,21.950617
World,OWID_WRL,2017-04-15,22.509083
World,OWID_WRL,2017-05-15,21.371119
World,OWID_WRL,2017-06-15,21.50708
World,OWID_WRL,2017-07-15,20.930798
World,OWID_WRL,2017-08-15,19.978733
World,OWID_WRL,2017-09-15,19.737232
World,OWID_WRL,2017-10-15,23.251692
World,OWID_WRL,2017-11-15,21.136162
World,OWID_WRL,2017-12-15,22.894806
World,OWID_WRL,2018-01-15,21.908697
World,OWID_WRL,2018-02-15,22.471876
World,OWID_WRL,2018-03-15,24.764942
World,OWID_WRL,2018-04-15,20.79392
World,OWID_WRL,2018-05-15,19.752583
World,OWID_WRL,2018-06-15,21.993479
World,OWID_WRL,2018-07-15,20.475185
World,OWID_WRL,2018-08-15,19.826437
World,OWID_WRL,2018-09-15,20.807842
World,OWID_WRL,2018-10-15,24.463413
World,OWID_WRL,2018-11-15,24.417988
World,OWID_WRL,2018-12-15,23.032066
World,OWID_WRL,2019-01-15,22.276203
World,OWID_WRL,2019-02-15,23.73775
World,OWID_WRL,2019-03-15,24.000671
World,OWID_WRL,2019-04-15,24.057505
World,OWID_WRL,2019-05-15,22.897823
World,OWID_WRL,2019-06-15,22.646944
World,OWID_WRL,2019-07-15,22.08612
World,OWID_WRL,2019-08-15,22.027254
World,OWID_WRL,2019-09-15,23.004906
World,OWID_WRL,2019-10-15,23.574968
World,OWID_WRL,2019-11-15,24.148201
World,OWID_WRL,2019-12-15,24.829485
World,OWID_WRL,2020-01-15,24.01485
World,OWID_WRL,2020-02-15,24.383879
World,OWID_WRL,2020-03-15,25.11798
World,OWID_WRL,2020-04-15,24.377195
World,OWID_WRL,2020-05-15,23.955639
World,OWID_WRL,2020-06-15,23.57416
World,OWID_WRL,2020-07-15,21.495148
World,OWID_WRL,2020-08-15,18.3781
World,OWID_WRL,2020-09-15,20.196983
World,OWID_WRL,2020-10-15,24.275114
World,OWID_WRL,2020-11-15,22.846596
World,OWID_WRL,2020-12-15,23.515764
World,OWID_WRL,2021-01-15,26.155819
World,OWID_WRL,2021-02-15,27.881218
World,OWID_WRL,2021-03-15,26.802614
World,OWID_WRL,2021-04-15,24.67586
World,OWID_WRL,2021-05-15,26.366543
World,OWID_WRL,2021-06-15,26.73448
World,OWID_WRL,2021-07-15,25.600138
World,OWID_WRL,2021-08-15,24.504606
World,OWID_WRL,2021-09-15,26.598793
World,OWID_WRL,2021-10-15,28.439468
World,OWID_WRL,2021-11-15,27.41662
World,OWID_WRL,2021-12-15,28.047894
World,OWID_WRL,2022-01-15,26.71878
World,OWID_WRL,2022-02-15,28.002817
World,OWID_WRL,2022-03-15,28.718872
World,OWID_WRL,2022-04-15,27.757877
World,OWID_WRL,2022-05-15,27.330364
World,OWID_WRL,2022-06-15,28.112396
World,OWID_WRL,2022-07-15,27.18474
World,OWID_WRL,2022-08-15,27.114305
World,OWID_WRL,2022-09-15,27.78551
World,OWID_WRL,2022-10-15,28.1427
World,OWID_WRL,2022-11-15,28.678411
World,OWID_WRL,2022-12-15,28.9191
World,OWID_WRL,2023-01-15,27.849712
World,OWID_WRL,2023-02-15,29.231934
World,OWID_WRL,2023-03-15,29.601456
World,OWID_WRL,2023-04-15,29.004755
World,OWID_WRL,2023-05-15,27.864103
World,OWID_WRL,2023-06-15,27.96137
World,OWID_WRL,2023-07-15,27.037819
World,OWID_WRL,2023-08-15,25.431349
World,OWID_WRL,2023-09-15,29.980024
World,OWID_WRL,2023-10-15,31.121899
World,OWID_WRL,2023-11-15,30.918621
World,OWID_WRL,2023-12-15,28.842194
World,OWID_WRL,2024-01-15,29.270731
World,OWID_WRL,2024-02-15,30.488073
World,OWID_WRL,2024-03-15,30.916677
World,OWID_WRL,2024-04-15,29.145733
World,OWID_WRL,2024-05-15,30.646458
World,OWID_WRL,2024-06-15,29.564331
World,OWID_WRL,2024-07-15,29.792402
World,OWID_WRL,2024-08-15,28.236774
World,OWID_WRL,2024-09-15,30.652971
World,OWID_WRL,2024-10-15,29.683918
World,OWID_WRL,2024-11-15,29.074709
World,OWID_WRL,2024-12-15,30.21252
World,OWID_WRL,2025-01-15,29.586246
World,OWID_WRL,2025-02-15,31.242846
World,OWID_WRL,2025-03-15,31.063496